Value,Format,Metric,Year
,Other Ad-Supported Streaming,Value (Adjusted),1977
,Synchronization,Value (Adjusted),1977
,CD,Units,1978
,CD Single,Units,1978
61.3,Cassette,Units,1978
,Cassette Single,Units,1978
341.3,LP/EP,Units,1978
190,Vinyl Single,Units,1978
133.6,8 - Track,Units,1978
,Other Tapes,Units,1978
,Music Video (Physical),Units,1978
,DVD Audio,Units,1978
,SACD,Units,1978
,Download Single,Units,1978
,Download Album,Units,1978
,Kiosk,Units,1978
,Download Music Video,Units,1978
,Ringtones & Ringbacks,Units,1978
,,Units,1978
,Paid Subscriptions,Units,1978
,CD,Value,1978
,CD Single,Value,1978
449.8,Cassette,Value,1978
,Cassette Single,Value,1978
2473.3,LP/EP,Value,1978
260.3,Vinyl Single,Value,1978
948,8 - Track,Value,1978
,Other Tapes,Value,1978
,Music Video (Physical),Value,1978
,DVD Audio,Value,1978
,SACD,Value,1978
,Download Single,Value,1978
,Download Album,Value,1978
,Kiosk,Value,1978
,Download Music Video,Value,1978
,Ringtones & Ringbacks,Value,1978
,Other Digital,Value,1978
,Paid Subscription,Value,1978
,Limited Tier Paid Subscription,Value,1978
,SoundExchange Distributions,Value,1978
,On-Demand Streaming (Ad-Supported),Value,1978
,Other Ad-Supported Streaming,Value,1978
,Synchronization,Value,1978
,CD,Value (Adjusted),1978
,CD Single,Value (Adjusted),1978
1691.027239,Cassette,Value (Adjusted),1978
,Cassette Single,Value (Adjusted),1978
9298.39411,LP/EP,Value (Adjusted),1978
978.6002454,Vinyl Single,Value (Adjusted),1978
3564.014724,8 - Track,Value (Adjusted),1978
,Other Tapes,Value (Adjusted),1978
,Music Video (Physical),Value (Adjusted),1978
,DVD Audio,Value (Adjusted),1978
,SACD,Value (Adjusted),1978
,Download Single,Value (Adjusted),1978
,Download Album,Value (Adjusted),1978
,Kiosk,Value (Adjusted),1978
,Download Music Video,Value (Adjusted),1978
,Ringtones & Ringbacks,Value (Adjusted),1978
,Other Digital,Value (Adjusted),1978
,Paid Subscription,Value (Adjusted),1978
,Limited Tier Paid Subscription,Value (Adjusted),1978
,SoundExchange Distributions,Value (Adjusted),1978
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1978
,Other Ad-Supported Streaming,Value (Adjusted),1978
,Synchronization,Value (Adjusted),1978
,CD,Units,1979
,CD Single,Units,1979
78.5,Cassette,Units,1979
,Cassette Single,Units,1979
290,LP/EP,Units,1979
212,Vinyl Single,Units,1979
102.3,8 - Track,Units,1979
